Última Atualização,Submercado,Carga_Verificada,Dia,Mês,Ano,Hora,Minuto
22/03/2021 11:08,SE,"45411,1",22,3,2021,11:10,
22/03/2021 11:08,S,"15258,8",22,3,2021,11:10,
22/03/2021 11:13,N,"5704,7",22,3,2021,11:15,
22/03/2021 11:13,NE,"11478,2",22,3,2021,11:15,
22/03/2021 11:13,SE,"45671,5",22,3,2021,11:15,
22/03/2021 11:13,S,"15307,6",22,3,2021,11:15,
22/03/2021 11:23,N,"5660,8",22,3,2021,11:25,
22/03/2021 11:23,NE,"11580,1",22,3,2021,11:25,
22/03/2021 11:23,SE,"45329,1",22,3,2021,11:25,
22/03/2021 11:23,S,"15260,5",22,3,2021,11:25,
22/03/2021 11:28,N,"5723,7",22,3,2021,11:30,
22/03/2021 11:28,NE,"11569,8",22,3,2021,11:30,
22/03/2021 11:28,SE,"45460,8",22,3,2021,11:30,
22/03/2021 11:28,S,"15251,9",22,3,2021,11:30,
22/03/2021 11:38,N,"5755,9",22,3,2021,11:40,
22/03/2021 11:38,NE,"11581,3",22,3,2021,11:40,
22/03/2021 11:38,SE,"45430,6",22,3,2021,11:40,
22/03/2021 11:38,S,"15063,5",22,3,2021,11:40,
22/03/2021 11:43,N,"5726,2",22,3,2021,11:45,
22/03/2021 11:43,NE,"11592,2",22,3,2021,11:45,
22/03/2021 11:43,SE,"45491,4",22,3,2021,11:45,
22/03/2021 11:43,S,"15017,9",22,3,2021,11:45,
22/03/2021 11:53,N,"5718,0",22,3,2021,11:55,
22/03/2021 11:53,NE,"11534,7",22,3,2021,11:55,
22/03/2021 11:53,SE,"45575,0",22,3,2021,11:55,
22/03/2021 11:53,S,"14764,6",22,3,2021,11:55,
22/03/2021 11:58,N,"5706,9",22,3,2021,12:00,
22/03/2021 11:58,NE,"11494,3",22,3,2021,12:00,
22/03/2021 11:58,SE,"45521,3",22,3,2021,12:00,
22/03/2021 11:58,S,"14557,5",22,3,2021,12:00,
22/03/2021 12:08,N,"5688,9",22,3,2021,12:10,
22/03/2021 12:08,NE,"11470,4",22,3,2021,12:10,
22/03/2021 12:08,SE,"45247,9",22,3,2021,12:10,
22/03/2021 12:08,S,"14214,9",22,3,2021,12:10,
22/03/2021 12:13,N,"5696,4",22,3,2021,12:15,
22/03/2021 12:13,NE,"11471,2",22,3,2021,12:15,
22/03/2021 12:13,SE,"45433,1",22,3,2021,12:15,
22/03/2021 12:13,S,"14179,1",22,3,2021,12:15,
22/03/2021 12:23,N,"5699,2",22,3,2021,12:25,
22/03/2021 12:23,NE,"11442,7",22,3,2021,12:25,
22/03/2021 12:23,SE,"45563,6",22,3,2021,12:25,
